[IG14] ネクストステージ, IG14
[B27] 誓約舞装編 未来の叙事詩, B27
[B26] 誓約舞装編 境界を断つ剣, B26
[B25] 誓約舞装編 明日に輝く絆, B25
[B24] 誓約舞装編 絆が導く未来, B24
[B23] 運命廻放編 天魔神狂乱, B23
[B22] 運命廻放編 因果からの脱出, B22
[B21] 運命廻放編 叛逆の狼煙, B21
[B20] 運命廻放編 祝福の蒼空, B20
[B19] 真神降臨編 覇神を穿つ者, B19
[B18] 真神降臨編 覚醒する希望, B18
[B17] 真神降臨編 裏切りの連鎖, B17
[B16] 真神降臨編 神域との邂逅, B16
[B15] 起動！超神器, B15
[B14] 断罪の白焔弓, B14
[B13] 変革の疾風, B13
[B12] 魔蠱の人形姫, B12
[B11] 神子達の戦場, B11
[B10] 真紅の戦乙女, B10
[B09] 覇者の覚醒, B09
[B08] 神祖の胎動, B08
[B07] 運命の相剋, B07
[B06] 五神竜の巫女, B06
[B05] 覇王の凱歌, B05
[B04] 黒騎神の強襲, B04
[B03] 五帝竜降臨, B03
[B02] 巨神の咆哮, B02
[B01] 異世界との邂逅, B01
[E53] BLACK LAGOON, E53
[E52] 恋乙女の聖戦, E52
[E51] 奇跡の宝石箱, E51
[E50] ネクスト・フロンティア, E50
[E49] アイドル♪ギャラクシーフェスタ, E49
[E48] ゼクスプラッシュ サマーメモリー, E48
[E47] ぜくげーこれくしょん+あぺんど, E47
[E46] 竜舞流星群(ドラゴニック・ミーティア), E46
[E45] リユニオン・オーバーブースト！, E45
[E44] ゼクスターズ・プリンシパル, E44
[E43] ドラゴン†はろうぃんパニック†, E43
[E42] ゼクス伝説 -Gaming Edition II-, E42
[E41] アイドル♪ファンタジーフェスタ, E41
[E40] 六星竜の箱庭, E40
[E39] まれびとの宴, E39
[E38] 円環に響く竜啼, E38
[E37] アイドル♪アメイジングギフト, E37
[E36] 神々の夜明け, E36
[E35] ゼクス伝説 -Gaming Edition-, E35
[E34] 邪竜vs聖竜vs六神竜, E34
[E33] アイドル♪サマーレッスン, E33
[E32] ゼクスターズ・クロニクル, E32
[E31] ゼクス伝説, E31
[E30] みこどるっ！, E30
[E29] シャイニーステージ!!, E29
[E28] シークレット☆フェスティバル!!, E28
[E27] ドラゴンカジノへようこそ！, E27
[E26] スタート☆フェスティバル!!, E26
[E25] ミラクル！オール☆ゼクスターズ, E25
[E24] ジェネレーションX, E24
[E23] ゼクメモ！, E23
[E22] ドリームステージ!!, E22
[E21] もえドラ, E21
[E20] アズールレーン2, E20
[E19] スーパー！オール☆ゼクスターズ, E19
[E18] Code reunion, E18
[E17] サマーステージ!!, E17
[E16] ちび☆ドラ, E16
[E15] ゼク・ドリ, E15
[E14] アズールレーン, E14
[E13] ゼクステージ！, E13
[E12] E☆2, E12
[E11] よめドラ, E11
[E10] オール☆ゼクスターズ, E10
[E09] サマ・ドラ, E09
[E08] 日本一ソフトウェア3, E08
[E07] 真竜の戦歌, E07
[E06] 乙女の聖戦, E06
[E05] 蒼海の大決闘, E05
[E04] 日本一ソフトウェア2, E04
[E03] 回転むてん丸, E03
[E02] 日本一ソフトウェア, E02
[E01] 英雄達の宴, E01
[G45] ウルトラセレクション2026, G45
[G44] キャラクターデッキ 弓弦羽ミサキ, G44
[G43] キャラクターデッキ ユニゾンリルフィ, G43
[G42] フォーティーン・アニバーサリー, G42
[G41] ストーリーデッキ 星界の刻命, G41
[G40] キラキラサマーコレクション2025, G40
[G39] キャラクターデッキ イース2025, G39
[G38] 新春！色紙コレクション2025, G38
[G37] キャラクターデッキ アニムス, G37
[G36] サーティーン・アニバーサリー, G36
[G35] キャラクターデッキ 各務原あづみ2024, G35
[G34] キャラクターデッキ グロリア, G34
[G33] キャラクターデッキ 上柚木さくら, G33
[G32] ニューイヤーセレクション2024, G32
[G31] キャラクターデッキ 蝶ヶ崎ほのめ, G31
[G30] トゥエルブ・アニバーサリー, G30
[G29] キャラクターデッキ 上柚木綾瀬, G29
[G28] キャラクターデッキ 各務原あづみ+, G28
[G27] ストーリーデッキ 神々の黄昏れ, G27
[G26] キャラクターデッキ 七尾＆怜亜＆超, G26
[G25] キャラクターデッキ 剣淵相馬, G25
[G24] キャラクターデッキ ニーナ・シトリー, G24
[G23] パラレルセレクション, G23
[G22] キャラクターデッキ バラハラ, G22
[G21] キャラクターデッキ デ・ジ・キャラット, G21
[G20] イレブン・アニバーサリー, G20
[G19] キャラクターデッキ 天竜ゆたか, G19
[G18] キャラクターデッキ 百目鬼きさら, G18
[G17] キャラクターデッキ リルフィ, G17
[G16] キャラクターデッキ ニノ, G16
[G15] キャラクターデッキ イース, G15
[G14] キャラクターデッキ 夜刀うらら, G14
[G13] テンス・アニバーサリー, G13
[G12] キャラクターデッキ 黒崎春日, G12
[G11] 闇竜の逆襲, G11
[G10] キャラクターデッキ 各務原あづみ, G10
[G09] イラストレーターデッキ 三嶋くろね, G09
[G08] ニグとテオゴのなつやすみ, G08
[G07] 長知内ユーリイデアコンプリートセット, G07
[G06] ナイン・アニバーサリー アルカナ, G06
[G05] シフトカード ピックアップ！, G05
[G04] エイト・アニバーサリー, G04
[G03] 長知内ユーリコンプリートセット, G03
[G02] ドラゴンセレクション, G02
[G01] ロイヤルセレクション, G01
[ZP01] ゼクプレ！, ZP01
[BG01] ビギナーズパック, BG01
[CP05] ハジマリノミコ, CP05
[CP04] オリハルコンティラノ, CP04
[CP03] ヴェスパローゼ, CP03
[CP02] アルモタヘル, CP02
[CP01] リゲル, CP01
[SD10] スタートダッシュデッキ パーフェクト！世羅, SD10
[SD09] スタートダッシュデッキ ビギニング：エルピス, SD09
[SD08] スタートダッシュデッキ パーフェクト！ニノ, SD08
[SD07] スタートダッシュデッキ パーフェクト！ユイ, SD07
[SD06] プレミアム！竜の姫君, SD06
[SD05] プレミアム！ユイ, SD05
[SD04] プレミアム！ク・リト, SD04
[SD03] エンジョイ！！リゲル, SD03
[SD02] エンジョイ！ノスフェラトゥ, SD02
[SD01] エンジョイ！マーメイド, SD01
[CS02] Z/X Code reunion 第3巻 特製デッキ, CS02
[CS01] Z/X Code reunion 第1巻 特製デッキ, CS01
[C18] 導きの巫女, C18
[C17] 漆黒の堕界, C17
[C16] 純白の双翼, C16
[C15] 幽艶の魔人, C15
[C14] 戦陣の獅子, C14
[C13] 闇竜の至宝, C13
[C12] 灼熱の暴竜, C12
[C11] 正義の鉄槌, C11
[C10] 孤高の反逆者, C10
[C09] 妖艶なる魔力, C09
[C08] 英雄王の進撃, C08
[C07] 各務原あづみ＆倉敷世羅, C07
[C06] 黒崎神門＆青葉千歳, C06
[C05] 天王寺飛鳥＆上柚木綾瀬, C05
[C04] 青葉千歳 翠龍の双刃, C04
[C03] 各務原あづみ 蒼星の剣姫, C03
[C02] 上柚木綾瀬 黒獣の闘剣, C02
[C01] 天王寺飛鳥 天使の慈愛, C01
[PR14] PRカード, PR14
[PR13] PRカード, PR13
[PR12] PRカード, PR12
[PR11] PRカード, PR11
[PR10] PRカード, PR10
[PR09] PRカード, PR09
[PR08] PRカード, PR08
[PR07] PRカード, PR07
[PR06] PRカード, PR06
[PR05] PRカード, PR05
[PR04] PRカード, PR04
[PR03] PRカード, PR03
[PR02] PRカード, PR02
[PR01] PRカード, PR01
[P51] PRカード, P51
[P50] PRカード, P50
[P49] PRカード, P49
[P48] PRカード, P48
[P47] PRカード, P47
[P46] PRカード, P46
[P45] PRカード, P45
[P44] PRカード, P44
[P43] PRカード, P43
[P42] PRカード, P42
[P41] PRカード, P41
[P40] PRカード, P40
[P39] PRカード, P39
[P38] PRカード, P38
[P37] PRカード, P37
[P36] PRカード, P36
[P35] PRカード, P35
[P34] PRカード, P34
[P33] PRカード, P33
[P32] PRカード, P32
[P31] PRカード, P31
[P30] PRカード, P30
[P29] PRカード, P29
[P28] PRカード, P28
[P27] PRカード, P27
[P26] PRカード, P26
[P25] PRカード, P25
[P24] PRカード, P24
[P23] PRカード, P23
[P22] PRカード, P22
[P21] PRカード, P21
[P20] PRカード, P20
[P19] PRカード, P19
[P18] PRカード, P18
[P17] PRカード, P17
[P16] PRカード, P16
[P15] PRカード, P15
[P14] PRカード, P14
[P13] PRカード, P13
[P12] PRカード, P12
[P11] PRカード, P11
[P10] PRカード, P10
[P09] PRカード, P09
[P08] PRカード, P08
[P07] PRカード, P07
[P06] PRカード, P06
[P05] PRカード, P05
[P04] PRカード, P04
[P03] PRカード, P03
[P02] PRカード, P02
[P01] PRカード, P01
[E08P] PRカード, E08P
[E07P] PRカード, E07P
[E04P] PRカード, E04P
[E03P] PRカード, E03P
[E02P] PRカード, E02P
[D02] PRカード, D02
[D01] PRカード, D01

