name,price,price_text,image_url,description,card_url,card_id,reading
C 水着の美春,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10012.jpg,DC/W01-E12,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10012,10012,ミズギノミハル
C 水着の由夢,320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10013.jpg,DC/W01-E13,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10013,10013,ミズギノユメ
C 水着の麻耶,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10017.jpg,DC/W01-E17,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10017,10017,ミズギノマヤ
C 小川で遊ぼう!,500,500 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10018.jpg,DC/W01-E18,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10018,10018,オガワデアソボウ
CC ねことお風呂で,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10014.jpg,DC/W01-E14,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10014,10014,ネコトオフロデ
S-R 水着の音姫(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10019.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10019,10019,ミズギノオトメ
S-R 水着のななか(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10023.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10023,10023,ミズギノナナカ
S-R 水着のことり(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10024.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10024,10024,ミズギノコトリ
S-R 水着の音夢(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10029.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10029,10029,ミズギノネム
S-R 小悪魔 杏(ホロ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10033.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10033,10033,コアクマアンズ
S-R 水着のアリス(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10034.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10034,10034,ミズギノアリス
S-C 水着の音夢&さくら(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10020.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10020,10020,ミズギノネムアンドサクラ
S-C 水着の由夢&さくら(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10021.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10021,10021,ミズギノユメアンドサクラ
S-C 水着の和泉子(ホロ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10022.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10022,10022,ミズギノイズミコ
S-C 水着の小恋(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10025.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10025,10025,ミズギノココ
S-C 水着のななか&由夢(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10026.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10026,10026,ミズギノナナカアンドユメ
S-C 水着の環(ホロ),420,420 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10027.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10027,10027,ミズギノタマキ
S-C スイカ割り(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10028.jpg,DC/W01-E10,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10028,10028,スイカワリ
S-C 水着の美春(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10030.jpg,DC/W01-E12,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10030,10030,ミズギノミハル
S-C 水着の由夢(ホロ),320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10031.jpg,DC/W01-E13,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10031,10031,ミズギノユメ
S-C 水着の麻耶(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10035.jpg,DC/W01-E17,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10035,10035,ミズギノマヤ
S-C 小川で遊ぼう!(ホロ),680,680 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10036.jpg,DC/W01-E18,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10036,10036,オガワデアソボウ
S-CC ねことお風呂で(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10032.jpg,DC/W01-E14,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10032,10032,ネコトオフロデ
