name,name_power,price,price_text,image_url,description,card_url,card_id
C 水着のななか&由夢,C 水着のななか&由夢(ミズギノナナカアンドユメ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10008.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10008,10008
C 水着の環,C 水着の環(ミズギノタマキ),320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10009.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10009,10009
C スイカ割り,C スイカ割り(スイカワリ),80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10010.jpg,DC/W01-E10,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10010,10010
C 水着の美春,C 水着の美春(ミズギノミハル),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10012.jpg,DC/W01-E12,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10012,10012
C 水着の由夢,C 水着の由夢(ミズギノユメ),320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10013.jpg,DC/W01-E13,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10013,10013
C 水着の麻耶,C 水着の麻耶(ミズギノマヤ),80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10017.jpg,DC/W01-E17,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10017,10017
C 小川で遊ぼう!,C 小川で遊ぼう!(オガワデアソボウ),500,500 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10018.jpg,DC/W01-E18,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10018,10018
CC ねことお風呂で,CC ねことお風呂で(ネコトオフロデ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10014.jpg,DC/W01-E14,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10014,10014
S-R 水着の音姫(ホロ),S-R 水着の音姫(ホロ)(ミズギノオトメ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10019.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10019,10019
S-R 水着のななか(ホロ),S-R 水着のななか(ホロ)(ミズギノナナカ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10023.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10023,10023
S-R 水着のことり(ホロ),S-R 水着のことり(ホロ)(ミズギノコトリ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10024.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10024,10024
S-R 水着の音夢(ホロ),S-R 水着の音夢(ホロ)(ミズギノネム),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10029.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10029,10029
S-R 小悪魔 杏(ホロ),S-R 小悪魔 杏(ホロ)(コアクマアンズ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10033.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10033,10033
S-R 水着のアリス(ホロ),S-R 水着のアリス(ホロ)(ミズギノアリス),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10034.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10034,10034
S-C 水着の音夢&さくら(ホロ),S-C 水着の音夢&さくら(ホロ)(ミズギノネムアンドサクラ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10020.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10020,10020
S-C 水着の由夢&さくら(ホロ),S-C 水着の由夢&さくら(ホロ)(ミズギノユメアンドサクラ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10021.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10021,10021
S-C 水着の和泉子(ホロ),S-C 水着の和泉子(ホロ)(ミズギノイズミコ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10022.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10022,10022
S-C 水着の小恋(ホロ),S-C 水着の小恋(ホロ)(ミズギノココ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10025.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10025,10025
S-C 水着のななか&由夢(ホロ),S-C 水着のななか&由夢(ホロ)(ミズギノナナカアンドユメ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10026.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10026,10026
S-C 水着の環(ホロ),S-C 水着の環(ホロ)(ミズギノタマキ),420,420 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10027.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10027,10027
S-C スイカ割り(ホロ),S-C スイカ割り(ホロ)(スイカワリ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10028.jpg,DC/W01-E10,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10028,10028
S-C 水着の美春(ホロ),S-C 水着の美春(ホロ)(ミズギノミハル),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10030.jpg,DC/W01-E12,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10030,10030
S-C 水着の由夢(ホロ),S-C 水着の由夢(ホロ)(ミズギノユメ),320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10031.jpg,DC/W01-E13,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10031,10031
S-C 水着の麻耶(ホロ),S-C 水着の麻耶(ホロ)(ミズギノマヤ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10035.jpg,DC/W01-E17,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10035,10035
S-C 小川で遊ぼう!(ホロ),S-C 小川で遊ぼう!(ホロ)(オガワデアソボウ),680,680 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10036.jpg,DC/W01-E18,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10036,10036
S-CC ねことお風呂で(ホロ),S-CC ねことお風呂で(ホロ)(ネコトオフロデ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10032.jpg,DC/W01-E14,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10032,10032
