name,price,price_text,image_url,description,rarity,card_url,availability,card_id
C ななことヤギ,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10076.jpg,DC/W01-071,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10076,InStock,10076
C バナナパフェ,780,780 円,https://card.yuyu-tei.jp/ws/front/dc/10077.jpg,DC/W01-072,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10077,InStock,10077
C 月城 アリス,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10094.jpg,DC/W01-087,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10094,InStock,10094
C 音楽部の眞子,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10095.jpg,DC/W01-088,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10095,InStock,10095
C 眞子&amp;萌,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10096.jpg,DC/W01-089,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10096,InStock,10096
C 非公式新聞部 杉並,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10097.jpg,DC/W01-090,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10097,InStock,10097
C 水着の杏,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10098.jpg,DC/W01-091,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10098,OutOfStock,10098
C おねむな萌,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10099.jpg,DC/W01-092,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10099,InStock,10099
C 集合写真,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10103.jpg,DC/W01-096,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10103,InStock,10103
C 個人指導,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10104.jpg,DC/W01-097,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10104,InStock,10104
CR 存在のなくなる日,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10024.jpg,DC/W01-023,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10024,InStock,10024
CR 伝わる温もり,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10051.jpg,DC/W01-048,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10051,InStock,10051
CR 迷子の夢,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10078.jpg,DC/W01-073,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10078,InStock,10078
CR アリスの願い,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10105.jpg,DC/W01-098,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10105,InStock,10105
CC 魔法使いの見る夢,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10026.jpg,DC/W01-024,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10026,InStock,10026
CC あたし……そろそろ行かなきゃ……,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10027.jpg,DC/W01-025,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10027,InStock,10027
CC 結婚式の歌姫,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10053.jpg,DC/W01-049,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10053,InStock,10053
CC わたくしの大切な人のために……,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10054.jpg,DC/W01-050,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10054,InStock,10054
CC 美春のオルゴール,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10080.jpg,DC/W01-074,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10080,InStock,10080
CC おかえりなさい,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10081.jpg,DC/W01-075,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10081,InStock,10081
CC もう、忘れない,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10106.jpg,DC/W01-099,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10106,InStock,10106
CC 思い出の……品なんです,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10108.jpg,DC/W01-100,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10108,InStock,10108
TD 胡ノ宮 環,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10145.jpg,DC/W01-01T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10145,InStock,10145
TD 私服のことり,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10146.jpg,DC/W01-02T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10146,InStock,10146
TD ミス風見学園コンテスト,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10147.jpg,DC/W01-03T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10147,InStock,10147
TD 花咲 茜,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10148.jpg,DC/W01-04T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10148,InStock,10148
TD 小恋&amp;ななか,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10149.jpg,DC/W01-05T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10149,InStock,10149
TD 結婚式の歌姫,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10150.jpg,DC/W01-06T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10150,InStock,10150
TD 漫画家のななこ,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10151.jpg,DC/W01-07T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10151,InStock,10151
TD 彩珠 ななこ,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10152.jpg,DC/W01-08T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10152,InStock,10152
TD 白河 暦,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10153.jpg,DC/W01-09T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10153,InStock,10153
TD ロボ美春,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10154.jpg,DC/W01-10T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10154,InStock,10154
TD 美春&amp;音夢,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10155.jpg,DC/W01-11T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10155,InStock,10155
TD かけがえのない仲間,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10156.jpg,DC/W01-12T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10156,InStock,10156
TD HM-A06型 ミナツ,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10157.jpg,DC/W01-13T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10157,InStock,10157
TD 浴衣の音夢,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10158.jpg,DC/W01-14T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10158,OutOfStock,10158
TD 体操着の由夢,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10159.jpg,DC/W01-15T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10159,InStock,10159
TD ゆず&amp;慎,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10160.jpg,DC/W01-16T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10160,InStock,10160
TD パジャマの由夢,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10161.jpg,DC/W01-17T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10161,InStock,10161
TD ななことヤギ,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10162.jpg,DC/W01-18T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10162,InStock,10162
TD 美春のオルゴール,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10163.jpg,DC/W01-19T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10163,InStock,10163
TD おかえりなさい,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10164.jpg,DC/W01-20T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10164,InStock,10164
S-TD 小恋&amp;ななか(ちのちもちサイン入り),2980,2980 円,https://card.yuyu-tei.jp/ws/front/dc/10219.jpg,DC/W01-05T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10219,OutOfStock,10219
S-TD 小恋&amp;ななか(立花あやサイン入り),4980,4980 円,https://card.yuyu-tei.jp/ws/front/dc/10237.jpg,DC/W01-05T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10237,OutOfStock,10237
S-TD 体操着の由夢(サイン入り),5980,5980 円,https://card.yuyu-tei.jp/ws/front/dc/10220.jpg,DC/W01-15T,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10220,OutOfStock,10220
PR ディーラーの音姫,1280,1280 円,https://card.yuyu-tei.jp/ws/front/dc/10165.jpg,DC/W01-101,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10165,InStock,10165
PR 夕暮れにたたずむ由夢(新フレームver.),320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10166.jpg,DC/W01-101P,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10166,InStock,10166
PR 夕暮れにたたずむ由夢,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10167.jpg,DC/W01-102,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10167,OutOfStock,10167
PR 優等生の委員長 沢井麻耶,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10169.jpg,DC/W01-103,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10169,InStock,10169
PR 登校する朝倉姉妹,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10170.jpg,DC/W01-104,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10170,InStock,10170
PR BNNエージェント 美夏,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10171.jpg,DC/W01-105,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10171,InStock,10171
PR かき氷を食べる音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10172.jpg,DC/W01-106,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10172,InStock,10172
PR 不安な幼なじみ小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10173.jpg,DC/W01-107,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10173,InStock,10173
PR メイド服の美夏,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10174.jpg,DC/W01-108,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10174,InStock,10174
PR 不敵に微笑む杏,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10175.jpg,DC/W01-109,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10175,InStock,10175
PR レッツ! ダ・カーポーカー!!,780,780 円,https://card.yuyu-tei.jp/ws/front/dc/10176.jpg,DC/W01-110,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10176,InStock,10176
PR 特別留学生エリカ,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10177.jpg,DC/W01-111,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10177,InStock,10177
PR 旅人アイシア,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10178.jpg,DC/W01-112,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10178,InStock,10178
PR 付属1年生まひる,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10179.jpg,DC/W01-113,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10179,OutOfStock,10179
PR 恋する女の子 音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10180.jpg,DC/W01-114,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10180,InStock,10180
